INFO 2020-07-20 21:37:23,948 autoreload 584 Watching for file changes with StatReloader
INFO 2020-07-20 21:37:38,210 autoreload 584 Watching for file changes with StatReloader
INFO 2020-07-20 21:37:58,692 autoreload 584 Watching for file changes with StatReloader
INFO 2020-07-20 21:38:06,189 autoreload 584 Watching for file changes with StatReloader
WARNING 2020-07-20 21:38:30,254 log 228 Not Found: /
WARNING 2020-07-20 21:38:30,254 basehttp 154 "GET / HTTP/1.1" 404 2153
WARNING 2020-07-20 21:38:36,348 log 228 Not Found: /home
WARNING 2020-07-20 21:38:36,349 basehttp 154 "GET /home HTTP/1.1" 404 2183
ERROR 2020-07-20 21:38:41,293 excepyions 6 views:BannerView 错误是Cannot use ModelSerializer with Abstract Models.
INFO 2020-07-20 21:38:41,328 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 5377
INFO 2020-07-20 21:40:52,817 autoreload 584 Watching for file changes with StatReloader
INFO 2020-07-20 21:40:56,268 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 6044
INFO 2020-07-20 21:44:45,366 autoreload 211 D:\cool\luffy\luffyapi\luffyapi\settings\dev.py changed, reloading.
INFO 2020-07-20 21:44:46,933 autoreload 584 Watching for file changes with StatReloader
INFO 2020-07-20 21:45:05,729 autoreload 211 D:\cool\luffy\luffyapi\luffyapi\apps\home\views.py changed, reloading.
INFO 2020-07-20 21:45:07,357 autoreload 584 Watching for file changes with StatReloader
INFO 2020-07-20 21:46:12,150 autoreload 211 D:\cool\luffy\luffyapi\luffyapi\apps\home\views.py changed, reloading.
INFO 2020-07-20 21:46:13,754 autoreload 584 Watching for file changes with StatReloader
INFO 2020-07-20 21:49:29,823 autoreload 211 D:\cool\luffy\luffyapi\luffyapi\settings\dev.py changed, reloading.
INFO 2020-07-20 21:49:31,380 autoreload 584 Watching for file changes with StatReloader
INFO 2020-07-20 21:49:51,627 autoreload 211 D:\cool\luffy\luffyapi\luffyapi\settings\dev.py changed, reloading.
INFO 2020-07-20 21:49:53,234 autoreload 584 Watching for file changes with StatReloader
INFO 2020-07-20 21:51:41,679 autoreload 584 Watching for file changes with StatReloader
INFO 2020-07-20 21:51:43,553 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 5772
INFO 2020-07-20 22:17:57,897 autoreload 584 Watching for file changes with StatReloader
INFO 2020-07-20 22:18:14,075 basehttp 154 "GET /home/banner HTTP/1.1" 301 0
INFO 2020-07-20 22:18:14,153 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 289
INFO 2020-07-20 22:18:43,255 basehttp 154 "GET /home/banner HTTP/1.1" 301 0
INFO 2020-07-20 22:18:43,308 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 289
INFO 2020-07-20 22:19:45,636 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 289
WARNING 2020-07-20 22:19:55,586 log 228 Not Found: /
WARNING 2020-07-20 22:19:55,587 basehttp 154 "GET / HTTP/1.1" 404 2153
WARNING 2020-07-20 22:20:02,175 log 228 Not Found: /home
WARNING 2020-07-20 22:20:02,176 basehttp 154 "GET /home HTTP/1.1" 404 2183
WARNING 2020-07-20 22:20:10,945 log 228 Not Found: /home/hanner/
WARNING 2020-07-20 22:20:10,946 basehttp 154 "GET /home/hanner/ HTTP/1.1" 404 2330
INFO 2020-07-20 22:20:19,113 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 6044
INFO 2020-07-20 22:24:01,905 autoreload 584 Watching for file changes with StatReloader
INFO 2020-07-20 22:24:20,153 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 289
INFO 2020-07-20 22:27:38,472 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 289
INFO 2020-07-20 22:33:18,120 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 289
